Date,Open,High,Low,Close,Adj Close,Volume
2019-11-11,72.629997,72.889999,71.820000,72.629997,71.106117,4700282
2019-11-12,72.750000,72.970001,72.430000,72.930000,71.399818,6056946
2019-11-13,72.650002,72.760002,71.239998,71.510002,70.009621,8262369
2019-11-14,71.510002,71.519997,70.699997,71.120003,69.627792,4660386
2019-11-15,71.480003,71.750000,69.230003,70.720001,69.236191,14932439
2019-11-18,70.669998,71.379997,69.650002,69.730003,68.266960,5835103
2019-11-19,70.000000,70.790001,69.940002,70.220001,68.746681,5915991
2019-11-20,69.580002,69.980003,68.919998,69.500000,68.041786,6368806
2019-11-21,69.160004,69.400002,68.949997,69.199997,67.748077,3731524
2019-11-22,69.190002,69.849998,68.949997,69.510002,68.051582,5022246
2019-11-25,69.690002,70.320000,69.470001,69.739998,68.276741,4724429
2019-11-26,69.739998,69.839996,68.589996,69.040001,67.591446,10522420
2019-11-27,69.010002,69.690002,68.970001,69.050003,67.601227,5147787
2019-11-28,68.900002,69.050003,68.419998,68.669998,67.229195,3683879
2019-11-29,68.519997,68.589996,67.830002,67.830002,66.406822,8825101
2019-12-02,67.949997,68.339996,66.839996,67.019997,65.613815,6963357
2019-12-03,67.199997,67.400002,66.059998,66.199997,64.811020,7052050
2019-12-04,66.160004,67.459999,66.080002,67.260002,65.848785,5697568
2019-12-05,67.339996,67.800003,67.029999,67.300003,65.887955,5065985
2019-12-06,67.800003,68.720001,67.410004,68.699997,67.258560,7854732
2019-12-09,68.779999,69.320000,68.110001,69.029999,67.581650,6650349
2019-12-10,69.000000,69.129997,68.190002,69.019997,67.571846,5528199
2019-12-11,69.019997,69.169998,68.389999,68.930000,67.483742,6612962
2019-12-12,68.860001,70.830002,68.660004,70.830002,69.343887,9527917
2019-12-13,72.000000,72.410004,71.570000,71.790001,70.283737,10377971
2019-12-16,72.019997,73.489998,72.000000,73.209999,71.673943,10507085
2019-12-17,73.400002,74.500000,73.080002,74.500000,72.936882,10024768
2019-12-18,74.400002,75.449997,74.250000,75.080002,73.504715,10286457
2019-12-19,75.070000,75.839996,75.059998,75.550003,73.964851,7406836
2019-12-20,75.500000,76.669998,75.379997,76.669998,75.061348,10769476
2019-12-23,76.610001,76.879997,76.169998,76.739998,75.129883,4476430
2019-12-27,77.000000,77.610001,76.300003,76.550003,74.943871,4678858
2019-12-30,76.360001,76.559998,75.639999,75.639999,74.052963,6905553
2020-01-02,75.949997,78.059998,75.900002,77.790001,76.157845,10451622
2020-01-03,77.320000,77.589996,76.900002,77.050003,75.433380,5808658
2020-01-07,76.589996,77.169998,76.209999,76.910004,75.296318,9143366
2020-01-08,76.500000,76.660004,75.349998,76.500000,74.894913,6050373
2020-01-09,77.199997,77.599998,76.720001,76.760002,75.149460,7010278
2020-01-10,77.000000,77.220001,76.419998,76.669998,75.061348,5315128
2020-01-13,76.750000,77.000000,75.669998,76.150002,74.552261,5149977
2020-01-14,76.720001,76.720001,75.699997,76.059998,74.464142,5801267
2020-01-15,75.970001,76.230003,75.190002,75.239998,73.661354,5264835
2020-01-16,75.449997,76.580002,75.449997,76.400002,74.797020,8380478
2020-01-17,76.800003,77.489998,76.519997,76.980003,75.364845,8079440
2020-01-20,77.150002,77.570000,76.849998,77.349998,75.727081,4019783
2020-01-21,77.239998,77.260002,76.410004,77.120003,75.501915,6049117
2020-01-22,77.400002,77.650002,76.169998,76.570000,74.963448,5724541
2020-01-23,76.500000,77.059998,75.760002,76.099998,74.503304,5369041
2020-01-24,76.760002,77.260002,76.510002,76.510002,74.904701,5791901
2020-01-27,75.849998,75.959999,74.870003,75.010002,73.436172,6524182
2020-01-28,75.129997,77.050003,75.129997,76.970001,75.355057,6732238
2020-01-29,77.099998,77.180000,76.010002,76.250000,74.650162,9118211
2020-01-30,76.019997,76.169998,75.040001,75.589996,74.004005,7984263
2020-01-31,76.000000,76.589996,75.680000,76.120003,74.522896,7422828
2020-02-03,76.120003,76.459999,75.550003,76.199997,74.601204,4301820
2020-02-04,76.459999,76.919998,76.279999,76.529999,74.924286,6908910
2020-02-05,76.800003,78.629997,76.580002,78.309998,76.666939,12880447
2020-02-06,81.500000,83.769997,81.160004,83.769997,82.012375,28934235
2020-02-07,84.000000,85.099998,83.330002,84.790001,83.010979,14846608
2020-02-10,84.949997,85.230003,84.279999,84.959999,83.177414,7967193
2020-02-11,85.059998,85.589996,84.860001,85.269997,83.480904,8533024
2020-02-12,85.160004,85.760002,84.739998,85.610001,83.813766,10827551
2020-02-13,85.279999,85.379997,84.500000,85.379997,83.588600,9246793
2020-02-14,85.400002,85.849998,85.330002,85.739998,83.941048,6393915
2020-02-17,85.730003,86.089996,85.360001,85.690002,83.892097,4531830
2020-02-18,85.580002,85.589996,84.779999,84.860001,83.079514,6612080
2020-02-19,85.120003,85.870003,84.959999,85.790001,83.989998,8449469
2020-02-20,86.500000,86.730003,85.919998,86.379997,84.567612,7592664
2020-02-21,85.699997,85.820000,85.230003,85.669998,83.872505,6687616
2020-02-24,83.320000,84.320000,82.720001,83.260002,81.513084,11770724
2020-02-25,83.099998,83.529999,81.080002,81.290001,79.584419,9893650
2020-02-26,80.800003,80.900002,77.680000,80.660004,78.967636,11151554
2020-02-27,79.199997,79.559998,76.430000,77.709999,76.079536,10740636
2020-02-28,75.029999,76.510002,74.690002,75.680000,74.092117,15139634
2020-03-02,78.000000,78.019997,74.279999,76.150002,74.552261,13593596
2020-03-03,77.500000,78.180000,75.940002,75.949997,74.356453,11765425
2020-03-04,76.169998,77.440002,75.330002,75.970001,74.376038,10274828
2020-03-05,76.620003,76.720001,74.410004,75.620003,74.033379,10003503
2020-03-06,74.120003,74.510002,72.050003,72.510002,70.988632,12361386
2020-03-09,67.970001,69.000000,65.500000,65.580002,64.204041,26557322
2020-03-10,66.300003,68.050003,64.589996,64.589996,63.234802,23207856
2020-03-11,65.000000,66.160004,63.389999,63.639999,62.304737,13657437
2020-03-12,60.259998,60.750000,55.099998,55.430000,54.266998,31980497
2020-03-13,57.000000,59.270000,53.380001,54.400002,53.258610,31139022
2020-03-16,51.000000,52.000000,48.000000,50.500000,49.440434,26855378
2020-03-17,51.730000,53.169998,48.160000,51.480000,50.399872,20929018
2020-03-18,50.099998,51.580002,48.875000,51.580002,50.497776,19807790
2020-03-19,51.650002,54.599998,50.799999,54.410000,53.268398,18570304
2020-03-20,55.500000,56.959999,53.580002,54.299999,53.160706,19913211
2020-03-23,52.209999,53.619999,50.080002,50.410000,49.352325,21083735
2020-03-24,52.369999,53.619999,51.860001,53.330002,52.211060,17308464
2020-03-25,55.520000,56.750000,52.650002,56.080002,54.903355,18695461
2020-03-26,55.200001,56.740002,54.450001,56.740002,55.948574,11762796
2020-03-27,55.810001,56.380001,54.480000,55.369999,54.597679,11422318
2020-03-30,55.669998,55.869999,53.459999,54.450001,53.690514,12897441
2020-03-31,55.900002,56.540001,54.970001,56.080002,55.297779,16893236
2020-04-01,54.660000,55.290001,54.310001,54.459999,53.700375,9575395
2020-04-02,54.840000,55.180000,53.349998,54.029999,53.276371,11159819
2020-04-03,53.849998,54.270000,53.250000,53.560001,52.812931,9087874
2020-04-06,55.200001,55.740002,54.250000,54.799999,54.035629,11161738
2020-04-07,55.880001,57.599998,55.419998,57.590000,56.786716,15893676
2020-04-08,57.000000,57.189999,55.759998,56.439999,55.652752,10830627
2020-04-09,57.330002,57.930000,56.540001,57.180000,56.382431,5005835
2020-04-14,58.590000,59.060001,57.799999,58.169998,57.358624,14187314
2020-04-15,58.169998,58.270000,54.750000,54.750000,53.986328,12158018
2020-04-16,55.270000,55.590000,52.419998,52.740002,52.004364,12270315
2020-04-17,54.400002,55.849998,53.869999,55.340000,54.568100,12715446
2020-04-20,55.630001,55.910000,54.240002,55.400002,54.627266,8934484
2020-04-21,54.660000,54.860001,53.070000,53.070000,52.329762,11557274
2020-04-22,53.480000,54.950001,53.230000,54.950001,54.183540,9633497
2020-04-23,55.200001,56.820000,54.400002,56.430000,55.642899,8890596
2020-04-24,55.470001,56.040001,54.820000,55.169998,54.400467,8616277
2020-04-27,56.119999,56.439999,55.580002,56.220001,55.435825,7469634
2020-04-28,56.380001,58.970001,55.830002,58.970001,58.147465,13617335
2020-04-29,61.540001,64.169998,60.259998,64.150002,63.255215,21993179
2020-04-30,64.599998,64.900002,62.959999,63.240002,62.357906,12292293
2020-05-04,60.889999,61.070000,58.889999,58.889999,58.068584,15078498
2020-05-05,59.939999,60.740002,59.240002,60.009998,59.172962,8342921
